PNR Number,Train Number,Date of Journey,Class of Travel,Quota,Source Station,Destination Station,Booking Date,Current Status,Number of Passengers,Age of Passengers,Booking Channel,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status,Was Waitlisted
PNR0000002856,93340,2032-06-27,1AC,General,BBS,ASR,2031-10-27,Waitlisted,4,Child,Mobile App,191,16,2,Shatabdi,228,Defense Quota,Yes,10,Not Confirmed,True
PNR0000002857,11006,2032-06-28,Sleeper,General,LKO,NJP,2031-10-28,Confirmed,2,Child,Mobile App,244,3,18,Rajdhani,37,No Special Consideration,No,0,Confirmed,False
PNR0000002858,82279,2032-06-29,Sleeper,Tatkal,BBS,LTT,2031-10-29,RAC,2,Child,Mobile App,450,4,14,Superfast,107,No Special Consideration,Yes,0,Confirmed,False
PNR0000002859,52274,2032-06-30,Sleeper,Tatkal,GKP,GKP,2031-10-30,Confirmed,1,Adult,Counter,1705,19,16,Superfast,115,Defense Quota,Yes,0,Confirmed,False
PNR0000002860,73135,2032-07-01,2AC,Premium Tatkal,MMCT,MAS,2031-10-31,Confirmed,5,Child,Mobile App,569,4,24,Superfast,24,Defense Quota,Yes,0,Confirmed,False
PNR0000002861,32686,2032-07-02,2AC,Tatkal,GKP,MMCT,2031-11-01,Waitlisted,1,Child,Mobile App,775,7,7,Shatabdi,57,No Special Consideration,Yes,44,Not Confirmed,True
PNR0000002862,34547,2032-07-03,2AC,Premium Tatkal,LTT,CNB,2031-11-02,Confirmed,5,Senior Citizen,Mobile App,1035,15,25,Superfast,43,Senior Citizen,Yes,0,Confirmed,False
PNR0000002863,96490,2032-07-04,1AC,Tatkal,LKO,CNB,2031-11-03,Confirmed,1,Child,Mobile App,257,3,38,Express,206,Defense Quota,Yes,0,Confirmed,False
PNR0000002864,57264,2032-07-05,3AC,Ladies,HWH,BSB,2031-11-04,Waitlisted,4,Adult,Counter,1727,12,32,Rajdhani,197,Defense Quota,Yes,123,Not Confirmed,True
PNR0000002865,84177,2032-07-06,3AC,Tatkal,CNB,CNB,2031-11-05,Waitlisted,5,Senior Citizen,Counter,706,9,6,Superfast,105,Defense Quota,No,123,Not Confirmed,True
PNR0000002866,67877,2032-07-07,3AC,Tatkal,JU,JHS,2031-11-06,Confirmed,5,Adult,Counter,1796,2,29,Superfast,112,Senior Citizen,No,0,Confirmed,False
PNR0000002867,36118,2032-07-08,1AC,Ladies,HWH,JHS,2031-11-07,RAC,2,Senior Citizen,Mobile App,514,16,36,Rajdhani,209,No Special Consideration,No,0,Confirmed,False
PNR0000002868,87258,2032-07-09,Sleeper,Ladies,UMB,LKO,2031-11-08,RAC,3,Child,IRCTC Website,1288,12,36,Rajdhani,124,No Special Consideration,Yes,0,Confirmed,False
PNR0000002869,86552,2032-07-10,3AC,General,UMB,KOAA,2031-11-09,Confirmed,3,Child,IRCTC Website,1436,11,44,Shatabdi,26,Defense Quota,No,0,Confirmed,False
PNR0000002870,68377,2032-07-11,2AC,Tatkal,ASR,NDLS,2031-11-10,RAC,2,Senior Citizen,IRCTC Website,565,4,20,Rajdhani,243,Senior Citizen,Yes,0,Confirmed,False
PNR0000002871,75003,2032-07-12,2AC,Ladies,KOAA,MMCT,2031-11-11,Confirmed,4,Adult,Counter,876,5,26,Express,189,Senior Citizen,No,0,Confirmed,False
PNR0000002872,86947,2032-07-13,3AC,Ladies,ASR,LKO,2031-11-12,Confirmed,4,Child,IRCTC Website,1272,18,47,Express,304,No Special Consideration,Yes,0,Confirmed,False
PNR0000002873,14696,2032-07-14,Sleeper,Ladies,LKO,LTT,2031-11-13,Waitlisted,1,Adult,IRCTC Website,874,5,40,Rajdhani,202,Senior Citizen,Yes,21,Not Confirmed,True
PNR0000002874,73873,2032-07-15,1AC,Premium Tatkal,BCT,LKO,2031-11-14,RAC,3,Child,Mobile App,118,15,36,Shatabdi,125,No Special Consideration,Yes,0,Confirmed,False
PNR0000002875,34894,2032-07-16,1AC,Tatkal,SBC,HWH,2031-11-15,RAC,2,Child,IRCTC Website,1712,10,16,Rajdhani,361,Defense Quota,Yes,0,Confirmed,False
PNR0000002876,90455,2032-07-17,Sleeper,Premium Tatkal,NJP,JHS,2031-11-16,RAC,3,Adult,Mobile App,247,9,26,Superfast,343,Defense Quota,Yes,0,Confirmed,False
PNR0000002877,83432,2032-07-18,1AC,Ladies,BSB,CSMT,2031-11-17,Waitlisted,5,Child,IRCTC Website,634,6,45,Rajdhani,397,Defense Quota,No,49,Not Confirmed,True
PNR0000002878,57836,2032-07-19,3AC,Premium Tatkal,HWH,HWH,2031-11-18,Confirmed,4,Senior Citizen,IRCTC Website,578,3,41,Rajdhani,377,Defense Quota,No,0,Confirmed,False
PNR0000002879,43448,2032-07-20,3AC,Ladies,CNB,NDLS,2031-11-19,RAC,1,Child,IRCTC Website,198,4,19,Rajdhani,339,No Special Consideration,Yes,0,Confirmed,False
PNR0000002880,23056,2032-07-21,3AC,Premium Tatkal,BCT,NDLS,2031-11-20,Confirmed,2,Adult,Counter,105,2,2,Rajdhani,38,Defense Quota,No,0,Confirmed,False
PNR0000002881,42264,2032-07-22,3AC,Tatkal,MAS,LTT,2031-11-21,Confirmed,1,Child,IRCTC Website,1174,19,30,Rajdhani,123,No Special Consideration,No,0,Confirmed,False
PNR0000002882,59121,2032-07-23,Sleeper,Premium Tatkal,ADI,ADI,2031-11-22,RAC,5,Adult,Mobile App,1189,15,35,Shatabdi,258,No Special Consideration,No,0,Confirmed,False
PNR0000002883,42410,2032-07-24,Sleeper,General,ASR,LTT,2031-11-23,Confirmed,1,Child,IRCTC Website,1377,4,31,Superfast,114,No Special Consideration,No,0,Confirmed,False
PNR0000002884,67377,2032-07-25,3AC,Ladies,ASR,HWH,2031-11-24,Waitlisted,3,Senior Citizen,Mobile App,1447,6,30,Superfast,236,No Special Consideration,Yes,154,Not Confirmed,True
PNR0000002885,96534,2032-07-26,2AC,Tatkal,SC,KOAA,2031-11-25,RAC,3,Child,Counter,1358,9,4,Express,331,Senior Citizen,Yes,0,Confirmed,False
PNR0000002886,46891,2032-07-27,2AC,General,MAS,PNBE,2031-11-26,Confirmed,3,Senior Citizen,Counter,794,3,43,Rajdhani,65,No Special Consideration,No,0,Confirmed,False
PNR0000002887,48796,2032-07-28,Sleeper,Ladies,PNBE,PNBE,2031-11-27,RAC,5,Adult,Mobile App,611,13,6,Rajdhani,275,Defense Quota,Yes,0,Confirmed,False
PNR0000002888,79852,2032-07-29,1AC,Ladies,GKP,KOAA,2031-11-28,Waitlisted,3,Child,Counter,1964,8,13,Superfast,352,No Special Consideration,Yes,69,Not Confirmed,True
PNR0000002889,90417,2032-07-30,2AC,Tatkal,UMB,JP,2031-11-29,Waitlisted,5,Senior Citizen,Mobile App,587,19,13,Superfast,419,No Special Consideration,Yes,24,Not Confirmed,True
PNR0000002890,78601,2032-07-31,3AC,General,BBS,BSB,2031-11-30,RAC,3,Adult,Mobile App,1247,4,23,Shatabdi,439,No Special Consideration,No,0,Confirmed,False
PNR0000002891,20162,2032-08-01,Sleeper,Tatkal,GKP,UMB,2031-12-01,Confirmed,1,Senior Citizen,Mobile App,380,2,38,Express,415,No Special Consideration,No,0,Confirmed,False
PNR0000002892,61114,2032-08-02,1AC,Premium Tatkal,LKO,NJP,2031-12-02,Confirmed,4,Senior Citizen,IRCTC Website,381,16,39,Rajdhani,459,No Special Consideration,Yes,0,Confirmed,False
PNR0000002893,66971,2032-08-03,3AC,Ladies,KOAA,LTT,2031-12-03,Confirmed,2,Adult,Counter,1174,19,8,Shatabdi,153,No Special Consideration,No,0,Confirmed,False
PNR0000002894,47588,2032-08-04,3AC,Premium Tatkal,MMCT,JU,2031-12-04,Waitlisted,2,Senior Citizen,IRCTC Website,1478,5,4,Rajdhani,218,Defense Quota,Yes,111,Not Confirmed,True
PNR0000002895,70468,2032-08-05,Sleeper,Premium Tatkal,GKP,MAS,2031-12-05,Confirmed,5,Adult,Counter,1915,16,38,Rajdhani,456,Defense Quota,No,0,Confirmed,False
PNR0000002896,92800,2032-08-06,Sleeper,Premium Tatkal,GKP,LTT,2031-12-06,Confirmed,1,Adult,Counter,1305,13,17,Superfast,264,Defense Quota,No,0,Confirmed,False
PNR0000002897,51438,2032-08-07,2AC,General,NJP,GKP,2031-12-07,RAC,1,Senior Citizen,Mobile App,453,18,11,Shatabdi,271,Senior Citizen,No,0,Confirmed,False
PNR0000002898,41329,2032-08-08,Sleeper,General,CNB,KOAA,2031-12-08,Waitlisted,2,Senior Citizen,IRCTC Website,655,15,11,Shatabdi,161,Senior Citizen,No,199,Not Confirmed,True
PNR0000002899,68705,2032-08-09,3AC,General,CNB,LTT,2031-12-09,Confirmed,3,Senior Citizen,Counter,207,2,9,Shatabdi,29,Senior Citizen,No,0,Confirmed,False
PNR0000002900,77645,2032-08-10,1AC,General,ASR,LTT,2031-12-10,Waitlisted,2,Adult,Counter,1531,13,6,Express,146,Senior Citizen,Yes,39,Not Confirmed,True
PNR0000002901,43197,2032-08-11,3AC,Ladies,MAS,GKP,2031-12-11,Waitlisted,1,Adult,Mobile App,763,16,38,Shatabdi,311,No Special Consideration,Yes,30,Not Confirmed,True
PNR0000002902,66230,2032-08-12,2AC,Ladies,LKO,CSMT,2031-12-12,Waitlisted,1,Child,IRCTC Website,569,8,18,Shatabdi,366,No Special Consideration,No,199,Not Confirmed,True
PNR0000002903,74884,2032-08-13,1AC,Premium Tatkal,SC,LTT,2031-12-13,Confirmed,5,Child,Counter,849,16,41,Superfast,30,Defense Quota,Yes,0,Confirmed,False
PNR0000002904,58701,2032-08-14,Sleeper,Premium Tatkal,JHS,GKP,2031-12-14,Confirmed,2,Adult,IRCTC Website,314,10,32,Shatabdi,468,No Special Consideration,Yes,0,Confirmed,False
PNR0000002905,64959,2032-08-15,Sleeper,Tatkal,NDLS,HWH,2031-12-15,RAC,1,Senior Citizen,Counter,1361,3,44,Shatabdi,33,Senior Citizen,No,0,Confirmed,False
PNR0000002906,78169,2032-08-16,3AC,Ladies,BCT,ADI,2031-12-16,Waitlisted,5,Child,Counter,553,17,32,Superfast,344,Defense Quota,Yes,28,Not Confirmed,True
PNR0000002907,47293,2032-08-17,2AC,Tatkal,SBC,UMB,2031-12-17,Waitlisted,4,Child,IRCTC Website,488,4,19,Superfast,106,Defense Quota,Yes,176,Not Confirmed,True
PNR0000002908,84660,2032-08-18,1AC,Ladies,BCT,ADI,2031-12-18,Waitlisted,3,Child,Mobile App,778,8,44,Shatabdi,477,Senior Citizen,Yes,124,Not Confirmed,True
PNR0000002909,16344,2032-08-19,Sleeper,Premium Tatkal,LKO,JU,2031-12-19,Confirmed,1,Child,Counter,1512,16,9,Shatabdi,392,No Special Consideration,No,0,Confirmed,False
PNR0000002910,57752,2032-08-20,2AC,Tatkal,KOAA,CSMT,2031-12-20,Confirmed,2,Child,Counter,1739,6,44,Rajdhani,447,No Special Consideration,Yes,0,Confirmed,False
PNR0000002911,22423,2032-08-21,1AC,Tatkal,MMCT,NJP,2031-12-21,Confirmed,4,Child,Mobile App,1749,14,8,Shatabdi,413,Senior Citizen,Yes,0,Confirmed,False
PNR0000002912,17239,2032-08-22,1AC,Tatkal,JP,UMB,2031-12-22,Waitlisted,3,Adult,Mobile App,413,13,46,Rajdhani,316,Senior Citizen,Yes,174,Not Confirmed,True
PNR0000002913,71120,2032-08-23,3AC,General,GKP,SBC,2031-12-23,Confirmed,3,Senior Citizen,Mobile App,692,7,16,Rajdhani,184,No Special Consideration,No,0,Confirmed,False
PNR0000002914,70076,2032-08-24,Sleeper,Ladies,UMB,SBC,2031-12-24,Confirmed,1,Adult,Mobile App,283,16,28,Express,349,Senior Citizen,Yes,0,Confirmed,False
PNR0000002915,19427,2032-08-25,1AC,Ladies,UMB,ADI,2031-12-25,Waitlisted,4,Senior Citizen,Counter,148,17,9,Express,216,No Special Consideration,Yes,30,Not Confirmed,True
PNR0000002916,43854,2032-08-26,1AC,General,HWH,HWH,2031-12-26,RAC,1,Senior Citizen,IRCTC Website,1841,4,2,Superfast,200,Defense Quota,Yes,0,Confirmed,False
PNR0000002917,62289,2032-08-27,1AC,Premium Tatkal,JP,BSB,2031-12-27,RAC,1,Senior Citizen,Mobile App,727,6,31,Superfast,417,No Special Consideration,No,0,Confirmed,False
PNR0000002918,54967,2032-08-28,2AC,Premium Tatkal,MAS,ADI,2031-12-28,RAC,5,Adult,IRCTC Website,716,3,47,Shatabdi,339,No Special Consideration,No,0,Confirmed,False
PNR0000002919,60360,2032-08-29,3AC,Tatkal,NJP,SBC,2031-12-29,RAC,4,Adult,Counter,743,11,25,Shatabdi,112,Senior Citizen,Yes,0,Confirmed,False
PNR0000002920,65735,2032-08-30,Sleeper,Ladies,ASR,KOAA,2031-12-30,RAC,2,Child,IRCTC Website,1861,12,19,Express,423,Senior Citizen,No,0,Confirmed,False
PNR0000002921,28631,2032-08-31,3AC,General,CNB,MAS,2031-12-31,RAC,5,Child,Counter,765,8,11,Rajdhani,482,No Special Consideration,No,0,Confirmed,False
PNR0000002922,22995,2032-09-01,3AC,Premium Tatkal,UMB,JU,2032-01-01,Confirmed,1,Child,Mobile App,996,17,33,Express,444,No Special Consideration,Yes,0,Confirmed,False
PNR0000002923,75454,2032-09-02,Sleeper,Tatkal,JP,MAS,2032-01-02,Confirmed,3,Child,Mobile App,1004,19,34,Rajdhani,154,Senior Citizen,No,0,Confirmed,False
PNR0000002924,70333,2032-09-03,1AC,Premium Tatkal,NDLS,JHS,2032-01-03,RAC,5,Adult,Mobile App,608,3,6,Rajdhani,36,No Special Consideration,Yes,0,Confirmed,False
PNR0000002925,87802,2032-09-04,2AC,Ladies,JU,SC,2032-01-04,RAC,1,Senior Citizen,IRCTC Website,666,10,37,Shatabdi,259,No Special Consideration,No,0,Confirmed,False
PNR0000002926,60050,2032-09-05,1AC,Ladies,NDLS,KOAA,2032-01-05,Waitlisted,2,Senior Citizen,Counter,1292,9,6,Rajdhani,279,No Special Consideration,No,96,Not Confirmed,True
PNR0000002927,17513,2032-09-06,3AC,Premium Tatkal,SC,GKP,2032-01-06,Confirmed,5,Senior Citizen,Mobile App,1598,6,8,Shatabdi,205,Senior Citizen,Yes,0,Confirmed,False
PNR0000002928,54149,2032-09-07,2AC,Tatkal,JHS,MMCT,2032-01-07,RAC,3,Senior Citizen,IRCTC Website,1403,8,32,Rajdhani,499,No Special Consideration,No,0,Confirmed,False
PNR0000002929,18880,2032-09-08,3AC,Tatkal,HWH,LTT,2032-01-08,Confirmed,1,Child,Mobile App,633,10,45,Superfast,276,Defense Quota,Yes,0,Confirmed,False
PNR0000002930,42036,2032-09-09,3AC,Premium Tatkal,JHS,JHS,2032-01-09,Waitlisted,2,Adult,Mobile App,1910,6,46,Rajdhani,70,Defense Quota,No,180,Not Confirmed,True
PNR0000002931,87444,2032-09-10,Sleeper,Ladies,MAS,PNBE,2032-01-10,Waitlisted,4,Senior Citizen,IRCTC Website,856,2,4,Shatabdi,33,Senior Citizen,No,74,Not Confirmed,True
PNR0000002932,97115,2032-09-11,1AC,Premium Tatkal,MAS,JP,2032-01-11,Confirmed,2,Child,IRCTC Website,605,17,7,Superfast,212,No Special Consideration,No,0,Confirmed,False
PNR0000002933,97942,2032-09-12,Sleeper,Tatkal,BBS,CSMT,2032-01-12,RAC,5,Senior Citizen,IRCTC Website,1573,16,25,Express,27,Defense Quota,No,0,Confirmed,False
PNR0000002934,78154,2032-09-13,Sleeper,Tatkal,GKP,JP,2032-01-13,Waitlisted,3,Senior Citizen,IRCTC Website,1553,6,34,Superfast,127,No Special Consideration,No,11,Not Confirmed,True
PNR0000002935,24982,2032-09-14,2AC,Premium Tatkal,KOAA,ASR,2032-01-14,Confirmed,2,Senior Citizen,Counter,856,18,15,Express,463,No Special Consideration,No,0,Confirmed,False
PNR0000002936,20084,2032-09-15,3AC,Ladies,BBS,CSMT,2032-01-15,Confirmed,3,Adult,Counter,839,17,14,Express,335,Senior Citizen,No,0,Confirmed,False
PNR0000002937,20062,2032-09-16,1AC,Premium Tatkal,GKP,GKP,2032-01-16,Waitlisted,3,Senior Citizen,Mobile App,913,17,23,Rajdhani,392,Senior Citizen,No,146,Not Confirmed,True
PNR0000002938,35864,2032-09-17,2AC,Tatkal,SC,ASR,2032-01-17,Waitlisted,2,Senior Citizen,Counter,443,3,12,Shatabdi,152,No Special Consideration,No,141,Not Confirmed,True
PNR0000002939,24950,2032-09-18,Sleeper,General,GKP,KOAA,2032-01-18,RAC,1,Senior Citizen,Mobile App,724,5,27,Superfast,398,Senior Citizen,Yes,0,Confirmed,False
PNR0000002940,17127,2032-09-19,Sleeper,Tatkal,CNB,CNB,2032-01-19,Confirmed,3,Child,Mobile App,1400,14,10,Shatabdi,263,No Special Consideration,Yes,0,Confirmed,False
PNR0000002941,55102,2032-09-20,2AC,Premium Tatkal,ASR,NJP,2032-01-20,Waitlisted,4,Senior Citizen,IRCTC Website,63,19,39,Shatabdi,123,Senior Citizen,Yes,132,Not Confirmed,True
PNR0000002942,97700,2032-09-21,2AC,General,UMB,CNB,2032-01-21,Waitlisted,3,Child,Mobile App,217,6,6,Shatabdi,87,No Special Consideration,No,70,Not Confirmed,True
PNR0000002943,14419,2032-09-22,1AC,General,JP,NJP,2032-01-22,RAC,3,Adult,Counter,1150,17,38,Rajdhani,250,Senior Citizen,No,0,Confirmed,False
PNR0000002944,60561,2032-09-23,3AC,Tatkal,JHS,ASR,2032-01-23,Waitlisted,1,Senior Citizen,IRCTC Website,193,18,42,Shatabdi,426,Senior Citizen,No,171,Not Confirmed,True
PNR0000002945,62294,2032-09-24,3AC,General,HWH,NJP,2032-01-24,Waitlisted,5,Child,Counter,1894,5,19,Express,139,No Special Consideration,No,73,Not Confirmed,True
PNR0000002946,10827,2032-09-25,3AC,Ladies,PNBE,NJP,2032-01-25,Confirmed,2,Senior Citizen,IRCTC Website,815,17,31,Rajdhani,162,Defense Quota,No,0,Confirmed,False
PNR0000002947,14798,2032-09-26,2AC,Tatkal,NJP,JP,2032-01-26,RAC,3,Child,Mobile App,1307,4,8,Superfast,260,Senior Citizen,Yes,0,Confirmed,False
PNR0000002948,10695,2032-09-27,3AC,Premium Tatkal,BBS,LTT,2032-01-27,Confirmed,4,Senior Citizen,IRCTC Website,1896,11,24,Shatabdi,292,Defense Quota,No,0,Confirmed,False
PNR0000002949,15507,2032-09-28,3AC,Tatkal,KOAA,SC,2032-01-28,Confirmed,2,Adult,Mobile App,696,14,31,Superfast,379,No Special Consideration,No,0,Confirmed,False
PNR0000002950,43988,2032-09-29,2AC,Tatkal,SBC,SC,2032-01-29,Confirmed,5,Adult,IRCTC Website,200,7,40,Shatabdi,453,Defense Quota,No,0,Confirmed,False
PNR0000002951,43646,2032-09-30,Sleeper,General,SBC,LKO,2032-01-30,Confirmed,4,Senior Citizen,Mobile App,346,3,39,Shatabdi,207,Senior Citizen,Yes,0,Confirmed,False
PNR0000002952,38931,2032-10-01,1AC,Premium Tatkal,GKP,SC,2032-01-31,Waitlisted,5,Child,Mobile App,739,11,34,Express,400,Senior Citizen,Yes,147,Not Confirmed,True
PNR0000002953,67541,2032-10-02,1AC,Tatkal,BSB,JU,2032-02-01,Waitlisted,5,Child,Counter,1091,18,43,Express,438,Defense Quota,No,76,Not Confirmed,True
PNR0000002954,63628,2032-10-03,2AC,Ladies,CSMT,CSMT,2032-02-02,RAC,2,Child,Mobile App,93,11,20,Superfast,358,Defense Quota,Yes,0,Confirmed,False
PNR0000002955,79474,2032-10-04,Sleeper,General,NDLS,KOAA,2032-02-03,RAC,3,Child,Mobile App,54,2,47,Superfast,126,Senior Citizen,No,0,Confirmed,False
PNR0000002956,76220,2032-10-05,1AC,General,CNB,SBC,2032-02-04,RAC,4,Child,Mobile App,1286,12,18,Rajdhani,238,Defense Quota,No,0,Confirmed,False
PNR0000002957,90073,2032-10-06,2AC,Ladies,SC,NDLS,2032-02-05,Waitlisted,5,Child,Counter,1961,7,38,Superfast,303,No Special Consideration,No,190,Not Confirmed,True
PNR0000002958,94394,2032-10-07,Sleeper,Tatkal,BBS,LTT,2032-02-06,Waitlisted,4,Child,IRCTC Website,1666,2,29,Shatabdi,326,Defense Quota,Yes,7,Not Confirmed,True
PNR0000002959,45960,2032-10-08,2AC,Tatkal,JP,ADI,2032-02-07,RAC,3,Senior Citizen,Mobile App,1245,16,20,Superfast,255,No Special Consideration,No,0,Confirmed,False
PNR0000002960,28538,2032-10-09,1AC,Premium Tatkal,JU,MAS,2032-02-08,Confirmed,5,Child,Counter,185,5,9,Shatabdi,161,Senior Citizen,No,0,Confirmed,False
PNR0000002961,73323,2032-10-10,Sleeper,Ladies,BCT,LTT,2032-02-09,Confirmed,1,Child,IRCTC Website,580,2,7,Rajdhani,468,Senior Citizen,Yes,0,Confirmed,False
PNR0000002962,48904,2032-10-11,1AC,General,UMB,NDLS,2032-02-10,RAC,2,Child,IRCTC Website,1222,3,7,Superfast,497,Defense Quota,Yes,0,Confirmed,False
PNR0000002963,66262,2032-10-12,2AC,General,MAS,HWH,2032-02-11,Confirmed,4,Senior Citizen,Mobile App,1167,7,30,Express,152,No Special Consideration,No,0,Confirmed,False
PNR0000002964,94493,2032-10-13,1AC,Tatkal,NJP,SBC,2032-02-12,RAC,1,Adult,IRCTC Website,1776,4,16,Rajdhani,145,Senior Citizen,No,0,Confirmed,False
PNR0000002965,71185,2032-10-14,Sleeper,Ladies,LKO,JHS,2032-02-13,Confirmed,5,Senior Citizen,IRCTC Website,1703,3,7,Superfast,381,Defense Quota,No,0,Confirmed,False
PNR0000002966,53122,2032-10-15,Sleeper,Tatkal,MAS,BBS,2032-02-14,Confirmed,5,Child,Mobile App,1040,9,39,Express,60,Defense Quota,No,0,Confirmed,False
PNR0000002967,89015,2032-10-16,Sleeper,General,HWH,MAS,2032-02-15,Confirmed,5,Adult,IRCTC Website,1883,7,19,Shatabdi,495,Defense Quota,No,0,Confirmed,False
PNR0000002968,41928,2032-10-17,Sleeper,Tatkal,KOAA,LKO,2032-02-16,RAC,1,Child,Counter,1869,2,22,Rajdhani,459,Defense Quota,No,0,Confirmed,False
PNR0000002969,23787,2032-10-18,Sleeper,Ladies,MAS,BBS,2032-02-17,Confirmed,1,Adult,Mobile App,978,7,4,Superfast,237,Senior Citizen,No,0,Confirmed,False
PNR0000002970,88148,2032-10-19,3AC,Tatkal,BCT,SBC,2032-02-18,Confirmed,3,Child,Mobile App,918,15,14,Superfast,305,Defense Quota,No,0,Confirmed,False
PNR0000002971,65766,2032-10-20,Sleeper,Tatkal,BCT,NJP,2032-02-19,RAC,3,Adult,Counter,960,3,23,Express,134,No Special Consideration,Yes,0,Confirmed,False
PNR0000002972,47191,2032-10-21,1AC,Tatkal,LKO,LTT,2032-02-20,RAC,4,Child,IRCTC Website,1066,6,13,Rajdhani,226,No Special Consideration,Yes,0,Confirmed,False
PNR0000002973,67291,2032-10-22,1AC,Ladies,ADI,CSMT,2032-02-21,Confirmed,1,Child,Mobile App,164,6,42,Express,277,Defense Quota,No,0,Confirmed,False
PNR0000002974,78459,2032-10-23,1AC,General,BSB,LKO,2032-02-22,Confirmed,3,Adult,IRCTC Website,1286,16,4,Superfast,145,Defense Quota,No,0,Confirmed,False
PNR0000002975,45022,2032-10-24,3AC,Tatkal,HWH,UMB,2032-02-23,Waitlisted,4,Adult,IRCTC Website,287,2,17,Superfast,352,Senior Citizen,Yes,27,Not Confirmed,True
PNR0000002976,10694,2032-10-25,Sleeper,Premium Tatkal,LKO,SBC,2032-02-24,Confirmed,3,Senior Citizen,Mobile App,1843,14,44,Express,15,No Special Consideration,Yes,0,Confirmed,False
PNR0000002977,23682,2032-10-26,2AC,General,CSMT,CSMT,2032-02-25,Waitlisted,4,Child,Counter,1167,14,27,Shatabdi,452,Senior Citizen,Yes,79,Not Confirmed,True
PNR0000002978,42018,2032-10-27,Sleeper,Premium Tatkal,SC,MMCT,2032-02-26,RAC,5,Adult,IRCTC Website,594,8,29,Superfast,253,Senior Citizen,Yes,0,Confirmed,False
PNR0000002979,78341,2032-10-28,2AC,Tatkal,ASR,PNBE,2032-02-27,Confirmed,3,Adult,Counter,1043,3,13,Superfast,242,No Special Consideration,Yes,0,Confirmed,False
PNR0000002980,56730,2032-10-29,1AC,General,JU,LKO,2032-02-28,Confirmed,5,Adult,Mobile App,1056,13,40,Express,280,Defense Quota,No,0,Confirmed,False
PNR0000002981,72949,2032-10-30,Sleeper,Premium Tatkal,PNBE,LTT,2032-02-29,Confirmed,1,Adult,IRCTC Website,1923,8,47,Superfast,225,No Special Consideration,Yes,0,Confirmed,False
PNR0000002982,70907,2032-10-31,2AC,Premium Tatkal,SC,JU,2032-03-01,RAC,5,Adult,Counter,1019,9,16,Rajdhani,476,No Special Consideration,No,0,Confirmed,False
PNR0000002983,81326,2032-11-01,3AC,Premium Tatkal,SBC,MAS,2032-03-02,RAC,5,Senior Citizen,IRCTC Website,1260,19,9,Superfast,89,Senior Citizen,No,0,Confirmed,False
PNR0000002984,58181,2032-11-02,Sleeper,Tatkal,BSB,JHS,2032-03-03,Waitlisted,4,Child,IRCTC Website,1907,7,33,Superfast,435,No Special Consideration,Yes,154,Not Confirmed,True
PNR0000002985,32724,2032-11-03,1AC,Ladies,SBC,NJP,2032-03-04,RAC,2,Child,Counter,1408,3,19,Shatabdi,438,Defense Quota,No,0,Confirmed,False
PNR0000002986,82985,2032-11-04,3AC,Ladies,NDLS,LTT,2032-03-05,RAC,1,Child,Counter,609,18,7,Rajdhani,8,No Special Consideration,Yes,0,Confirmed,False
PNR0000002987,72432,2032-11-05,2AC,Ladies,ASR,PNBE,2032-03-06,Confirmed,4,Senior Citizen,Counter,979,4,12,Express,369,Defense Quota,Yes,0,Confirmed,False
PNR0000002988,53949,2032-11-06,1AC,Premium Tatkal,PNBE,GKP,2032-03-07,RAC,3,Adult,Counter,1837,7,45,Shatabdi,156,Defense Quota,Yes,0,Confirmed,False
PNR0000002989,68829,2032-11-07,3AC,General,LKO,MAS,2032-03-08,RAC,4,Adult,IRCTC Website,1790,8,22,Rajdhani,235,No Special Consideration,Yes,0,Confirmed,False
PNR0000002990,38487,2032-11-08,1AC,Tatkal,NDLS,NJP,2032-03-09,Confirmed,3,Child,Mobile App,1733,3,30,Superfast,59,No Special Consideration,No,0,Confirmed,False
PNR0000002991,92657,2032-11-09,2AC,Tatkal,CNB,KOAA,2032-03-10,Waitlisted,2,Child,Counter,1134,8,11,Express,375,Defense Quota,Yes,168,Not Confirmed,True
PNR0000002992,66108,2032-11-10,Sleeper,Tatkal,BSB,CSMT,2032-03-11,Confirmed,1,Child,Counter,1952,13,30,Express,383,No Special Consideration,Yes,0,Confirmed,False
PNR0000002993,80616,2032-11-11,Sleeper,Tatkal,ADI,PNBE,2032-03-12,Waitlisted,3,Child,IRCTC Website,1829,2,35,Shatabdi,6,No Special Consideration,No,71,Not Confirmed,True
PNR0000002994,99783,2032-11-12,3AC,General,UMB,MMCT,2032-03-13,Confirmed,2,Senior Citizen,IRCTC Website,528,19,15,Superfast,48,Defense Quota,No,0,Confirmed,False
PNR0000002995,30890,2032-11-13,3AC,Premium Tatkal,HWH,LTT,2032-03-14,Waitlisted,5,Adult,Mobile App,72,3,8,Superfast,234,No Special Consideration,No,48,Not Confirmed,True
PNR0000002996,83561,2032-11-14,1AC,Ladies,BSB,ADI,2032-03-15,RAC,3,Senior Citizen,Mobile App,310,3,4,Rajdhani,32,Defense Quota,Yes,0,Confirmed,False
PNR0000002997,46262,2032-11-15,1AC,General,KOAA,ASR,2032-03-16,Confirmed,4,Child,Mobile App,470,7,41,Superfast,163,Senior Citizen,No,0,Confirmed,False
